District,YTD % Attendance (Avg),YTD Enrollment(Avg)
DISTRICT 01,91.18%,12367
DISTRICT 02,89.01%,60823
DISTRICT 03,89.28%,21962
DISTRICT 04,91.13%,14252
DISTRICT 05,89.08%,13170
DISTRICT 06,91.34%,25733
DISTRICT 07,86.75%,19717
DISTRICT 08,87.15%,31625
DISTRICT 09,89.27%,34518
DISTRICT 10,88.92%,56757
DISTRICT 11,89.84%,38230
DISTRICT 12,87.33%,23118
DISTRICT 13,89.56%,22785
DISTRICT 14,89.41%,20181
DISTRICT 15,91.27%,26786
DISTRICT 16,85.55%,10196
DISTRICT 17,89.67%,26551
DISTRICT 18,89.83%,18641
DISTRICT 19,87.81%,25632
DISTRICT 20,92.77%,44214
DISTRICT 21,90.5%,34342
DISTRICT 22,92.57%,36352
DISTRICT 23,86.98%,11833
DISTRICT 24,92.21%,52936
DISTRICT 25,91.9%,34371
DISTRICT 26,93.34%,31988
DISTRICT 27,89.88%,46007
DISTRICT 28,91.7%,37009
DISTRICT 29,92.14%,27232
DISTRICT 30,92.79%,39742
DISTRICT 31,90.98%,59373
DISTRICT 32,89.28%,15297
SPECIAL ED DISTRICT 75,83.21%,21435
ALTERNATIVE HIGH SCHOOLS,63.81%,7288
Citywide,89.99%,1002463
